Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1969-01-01,4.86332184000114,4.43394325758361,0.155075532169202,3.34490383934815,-2.43908204196853,,,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,1969-01-01,2.0332133790532,1.27305125920747,0.397330785338836,,,3.6250056305159,3.68919495605986,-0.292419000715646,3.76598929703448
1969-04-01,4.69841277263861,4.26990312562044,0.164354834116736,3.30345653289237,-0.842092360169098,,,0,0,0,0,0,0.2,0,0,0,,,,,,,,1969-04-01,2.00394406406933,1.26290640707842,0.397413959561633,,,3.56830341261934,3.65048177002897,-0.308013066205739,3.44252763311238
1969-07-01,4.65292580860593,4.23490401613783,0.156032176983354,3.02567296458244,0.117304941773702,,,0,0,0,0,0,0,0.216622948862535,0.2,0,,,,,,,,1969-07-01,1.99714642979325,1.25325755089235,0.397449137251024,,,3.51334104515174,3.61160612340055,-0.321694770148884,3.05675180606136
1969-10-01,4.3786684956376,4.00546834435834,0.125404426187052,2.41606999615556,0.102315331903435,,,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,1969-10-01,1.93004372875363,1.2465277346184,0.397068610548419,,,3.47248447665003,3.58378223087003,-0.333006138889128,2.15291834059963
1970-01-01,4.23602679545371,3.89671011384985,0.0982492145508394,1.67406718552297,0.209082921854808,,,0,0,0,0,0,0,0,0,0.2,,,,,,,,1970-01-01,1.89514133177068,1.2410260117478,0.396366695138026,,,3.43793240664374,3.56084896551067,-0.343206191812184,1.32016370175393
1970-04-01,4.15829836220891,3.82987289142537,0.0914928455442427,1.12186725193067,-0.536411222791709,,,,,,,,,,,,,,,,,,,1970-04-01,1.88166653344906,1.23610306690677,0.395547180630963,,,3.40635770122508,3.54041104683687,-0.3530785998523,0.695051648997037
1970-07-01,4.19980842582707,3.88784753587407,0.0714417005910839,0.764187549590247,-1.75379868012853,,,,,,,,,,,,,,,,,,,1970-07-01,1.89566059788883,1.2309664080659,0.394717355547567,,,3.37245306619697,3.5157777913609,-0.360826058884472,0.349523700763257
1970-10-01,3.83455156033666,3.50454748937101,0.113197492660791,0.55180196504341,-3.5808311822222,,,,,,,,,,,,,,,,,,,1970-10-01,1.83907804710077,1.22969572975934,0.393485469581029,,,3.35887985309547,3.51056142407646,-0.36886019749167,-0.465674191268704
1971-01-01,4.2466456373756,3.88316589205074,0.123250182849518,0.686400018445852,-5.32987329129407,,,,,,,,,,,,,,,,,,,1971-01-01,1.90143885222959,1.22388157552685,0.392883886771665,,,3.32124337074414,3.48353096175544,-0.377793995341062,0.132269128828284
1971-04-01,4.0206143448954,3.69126412299189,0.100992539049283,1.05341684358552,-4.38366963247284,,,,,,,,,,,,,,,,,,,1971-04-01,1.88113501661467,1.2206971288439,0.392096274108679,,,3.29604712738856,3.46596061076528,-0.384332909233698,0.195613447928622
1971-07-01,3.87632359292714,3.61738143264443,0.0351551825876479,1.10121852602538,-2.57277760625733,,,,,,,,,,,,,,,,,,,1971-07-01,1.86238949541654,1.21875972011128,0.391100849126905,,,3.27684853492823,3.45236443745575,-0.389094209860009,0.265053576121772
1971-10-01,3.58300387849198,3.47355554096642,-0.105440943807592,0.696593119161548,-2.12277049186514,,,,,,,,,,,,,,,,,,,1971-10-01,1.83421788575578,1.21851291663604,0.389970364784207,,,3.26682641171858,3.44801427202049,-0.394497047445278,0.21202422825661
1972-01-01,3.74621735091541,3.64045500095559,-0.119452059211059,0.865005926221556,-4.12635836416598,,,,,,,,,,,,,,,,,,,1972-01-01,1.84058200696548,1.21569080991521,0.389324791365793,,,3.24377534719801,3.43423797631555,-0.402919554580175,0.817370921623478
1972-04-01,3.86327776475435,3.8277740353178,-0.201299051418443,1.14603660146315,-2.02447362080046,,,,,,,,,,,,,,,,,,,1972-04-01,1.86501812877653,1.21063389305522,0.389188752449922,,,3.20856408384536,3.41028161702504,-0.41269241386988,1.69984355535178
1972-07-01,3.73485970229164,3.72821600535891,-0.223999990377769,1.51431310937392,-2.09189946490291,,,,,,,,,,,,,,,,,,,1972-07-01,1.84827593265781,1.20615886546038,0.389207708590751,,,3.17679841053496,3.39098574660212,-0.423968490133733,2.1519913057017
1972-10-01,3.79943353748351,3.83665607001652,-0.274574794756772,1.62831571443894,-1.13778660186229,,,,,,,,,,,,,,,,,,,1972-10-01,1.86003595193644,1.19954057500068,0.389696526465876,,,3.13441766029711,3.36532876974385,-0.439105011127902,2.84231205458934
1973-01-01,4.02827260280372,4.07234539305014,-0.296005820978784,2.00774410764598,-0.122259116524498,,,,,,,,,,,,,,,,,,,1973-01-01,1.92059403406592,1.18986536490206,0.391016404933475,,,3.07462153590824,3.32542202931723,-0.456525590238896,3.76689333979311
1973-04-01,4.05741147480187,4.01091718565369,-0.201638525009168,2.58502544623423,-0.324722355474216,,,,,,,,,,,,,,,,,,,1973-04-01,1.92717776818312,1.18076466825668,0.392707361188346,,,3.01627894621669,3.28570508521621,-0.472694172605897,3.94979959263287
1973-07-01,3.77550840918168,3.73447154208849,-0.189993814977091,2.3161333780406,2.71086424496569,,,,,,,,,,,,,,,,,,,1973-07-01,1.86693367624686,1.17416993686892,0.394074731810519,,,2.97249116306828,3.25933629429393,-0.488481876526977,3.34886590985138
1973-10-01,3.90095537890196,3.83482907009401,-0.171112927239703,1.92716544723407,1.67922896077082,,,,,,,,,,,,,,,,,,,1973-10-01,1.87853824057524,1.16651964435588,0.395780274493286,,,2.92165806226092,3.22570846804487,-0.503606787224602,3.01686925392323
1974-01-01,3.67339946594428,3.56081695053718,-0.107705136952403,1.48074616302426,0.442810332949604,,,,,,,,,,,,,,,,,,,1974-01-01,1.83376343415025,1.16144230631807,0.396894930196252,,,2.88632597530965,3.20495566582002,-0.516902213177744,1.97530781368857
1974-04-01,3.78196930323278,3.53225765999351,0.0311907930362175,1.29375554197418,-0.359118873979026,,,,,,,,,,,,,,,,,,,1974-04-01,1.83010887155079,1.15665993939028,0.397793430814546,,,2.85229487152948,3.18300457562793,-0.527624236677503,1.17862824899305
1974-07-01,3.61042434868364,3.23230274951947,0.178157266737765,1.15022622451852,-1.49080537982756,,,,,,,,,,,,,,,,,,,1974-07-01,1.80029436858044,1.15481522307363,0.397583077143286,,,2.83699397391892,3.17490828933572,-0.5343279764473,-0.0210618969626921
1974-10-01,3.44128804549906,3.0987241997852,0.15086326442527,0.48126370613204,-3.05530578381219,,,,,,,,,,,,,,,,,,,1974-10-01,1.7933174065718,1.15486330524121,0.396456163538752,,,2.83367198297101,3.17397802772514,-0.5366621557479,-1.06725590577707
